Company,Profile
Google,Software Engineer
Truminds Software Systems,Software Development Engineer
Mistral Solutions Pvt Ltd,Software Engineer
Mistral Solutions Pvt Ltd,FPGA/VLSI Engineer
Mistral Solutions Pvt Ltd,RF/Analog Engineer
Raphe mPhibr Pvt Ltd,Research Engineer
Infoglen LLC,Salesforce Technology Freshers
MIKO,Jr AI NLP Engineer
MIKO,Jr AI Image
MIKO,Jr. AI Audio
MIKO,Data Scientist
MIKO,Jr Robotics Engineer
Agnikul Cosmos India Pvt Ltd,Aerospace Systems
ProtoTech Solutions,Associate Software Developer
Polyone Polymers India Pvt. Ltd.,R&D Chemist
HSBC,India
Optimum,Core Role
FCS Software Solutions Ltd,Software Engineer
Listed DotFans Private Limited,SDE
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Software Engineer
FourthFrontier,Title : Software Engineer Role : Firmware Developer
Frittsolar,Project Engineer
Fujitsu R&D India,Researcher Quantum Laboratory
Piramal Group,Graduate Engineer Trainee
Piramal Group,Graduate Engineer Trainee
Tripoor Sciences,FUTURE FOUNDER INTERN INVITED
EY India,Associate Consultant
rtCamp,Web Engineer
Focus Energy Limited,Quantitative Research Analyst
Focus Energy Limited,Quantitative Research Analyst
1K Kirana Bazaar,Product Analyst
1K Kirana Bazaar,Program Manager
1K Kirana Bazaar,Program Manager
Peepul tree,Full stack developer
MAQ Software,Software Engineer 1
ProtoTech Solutions,Associate Software Developer
Techvantage Analytics,DATA SCIENTIST
Deepsight AI Labs,Computer Vision Engineer
MIKO,Jr. Embedded Firmware/Linux Engineer
FCS Software Solutions Ltd,Quantitative Research Analyst
Statcon Electronics India Limited,Embedded Software Engineer
ZS Associates India Pvt. Ltd.,Data Science Associate
"Errund, Inc.",Full Stack Laravel Developer
MIKO,Jr. Mechanical Engineer
MIKO,Jr Electronics Hardware Engineer
MIKO,AI Backend Developer
MIKO,Jr Android Developer
U GRO Capital,Management Trainee
Agnikul Cosmos Pvt Ltd,Vehicle Dynamics Engineer
Agnikul Cosmos Pvt Ltd,RF Designer - Done
Agnikul Cosmos Pvt Ltd,Printed Circuit Board design engineer
Agnikul Cosmos Pvt Ltd,Power Electronics Engineer
Agnikul Cosmos Pvt Ltd,Mission Design Software Developer
Agnikul Cosmos Pvt Ltd,Launch Vehicle Operations Strategist
"Riskhub India, NatWest Group",Trainee Analyst
Agnikul Cosmos Pvt Ltd,3D Modelling Designer
SLB,Data Scientist
SLB,Machine Learning Engineer
Agnikul Cosmos Pvt Ltd,Additive Manufacturing Specialist
ANZ,Engineers - IT
Agnikul Cosmos Pvt Ltd,Embedded software engineer - Linux
Agnikul Cosmos Pvt Ltd,LabVIEW Engineer
Agnikul Cosmos Pvt Ltd,Launch Vehicle Composites Engineer
Arthmatetech Pvt Ltd,SDE
IntelliBlock Technologies Private Limited,Blockchain Developer
Piramal Foundation,Gandhi Fellowship
Fast Retailing,Mobile Application Engineer / Digital Business Reform Department
Fast Retailing,Backend Engineer / Digital Business Reform Department
Trilogy Innovations,Software Development Engineer
Apport Software Solutions Private Ltd,IOS Developer
Apport Software Solutions Private Ltd,Backend Developer
Apport Software Solutions Private Ltd,FrontEnd Develper
Navi Technologies Pvt.Ltd,Business Analyst
Apport Software Solutions Private Ltd,Android Developer
Fast Retailing,Data Engineer / Digital Business Reform Department
Rivos Inc.,Silicon Verification - Full-time -
WorldQuant,Quantitative Researcher
Uber,Software Engineer
IQVIA,Analyst
Accenture Japan Ltd.,Digital Consultant
Accenture Japan Ltd.,Business Consultant
Accenture Japan Ltd.,Strategy Consultant
Accenture Japan Ltd.,Data Scientist
Accenture Japan Ltd.,AI Architect
Flipkart Internet Pvt Ltd,Associate Product Manager 1
Deloitte USI,Analyst
Fast Retailing,Data Scientist / Digital Business Reform Department
Fast Retailing,QA Engineer/ Digital Business Reform Department
"Rakuten Mobile, Inc.",Software Engineer
Samsung Semiconductor India Research,SSIR
Fast Retailing,Front-end Engineer / Digital Business Reform Department
Fast Retailing,Software Developer / Digital Business Reform Department
DMI Finance,Data Scientist
Godrej Capital,Assistant Manager - Analytics
Vantage Research,Scientist-Modeling and Simulation
NVIDIA,Formal Verification Engineer
PayU,Associate Data Scientist
PayU,Associate Data Engineer
PayU,Associate Business Analyst
Honda R&D,1
Honda R&D,2
Honda R&D,3
Honda R&D,4
Honda R&D,5
Javis,Software Development Engineer I
Javis,Data Engineer I
Javis,Machine Learning Engineer I
Javis,Software Development Engineer I
JP Morgan & Chase,Full Time Analyst - Quantitative Research
Apport Software Solutions Private Ltd,UX Designer
Samsung Semiconductor India Research,SSIR
Zupee,Founder's Team
Ubiquiti Technical Services Pvt Ltd,Network Engineer
